Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
162,Veigar,Support,47.29%,0.51%,0.15%,4.94,4.84,6.49,9.37,6,14960,15830,1372,46.4,0.55,1.51,10432,21,0
163,Vel'Koz,Middle,51.84%,2.23%,0.05%,5.11,6.95,5.49,7.76,7,25397,15939,1745,174.5,1.04,3.61,11976,14,0
164,Vel'Koz,Support,48.34%,0.88%,0.05%,5.83,4.58,6.03,10.05,6,21131,15150,1280,45.2,0.47,1.15,10675,13,2
165,Vi,Jungle,50.89%,3.34%,0.08%,3.37,6.02,5.72,7.79,7,13899,25000,6427,40.6,4.34,50.81,11209,34,3
166,Viktor,Middle,47.89%,2.57%,0.04%,3.41,6.51,5.58,6.36,8,23081,16053,1530,188.6,1.53,6.4,12024,29,3
167,Vladimir,Middle,51.28%,3.43%,1.32%,3.71,6.68,5.49,6.34,8,23251,27642,19505,181.2,1.42,3.47,11649,18,0
168,Vladimir,Top,51.62%,2.03%,1.32%,3.88,5.31,5.57,5.91,7,22115,27868,19758,186.6,1.08,2.58,11484,11,4
169,Volibear,Jungle,51.35%,0.71%,0.02%,3.19,5.62,5.01,8.75,6,13231,33236,6995,43.0,3.27,43.71,10908,35,3
170,Volibear,Top,44.36%,0.31%,0.02%,3.49,5.3,5.63,6.48,7,15704,30728,2107,153.6,0.91,2.49,10909,50,0
171,Warwick,Jungle,53.06%,4.95%,0.89%,3.37,6.72,5.79,8.1,7,13562,36142,16262,42.7,4.48,46.21,11351,9,1
172,Wukong,Jungle,49.10%,1.08%,0.07%,4.37,6.71,5.66,7.29,9,16045,26493,7909,48.4,3.32,46.3,11322,38,2
173,Wukong,Top,52.63%,1.52%,0.07%,4.62,7.25,5.85,6.03,8,19702,21942,2154,162.1,0.86,2.57,11690,34,2
174,Xayah,ADC,50.05%,8.97%,1.16%,3.0,6.65,5.46,7.23,8,22103,18701,4106,196.8,1.6,6.76,12497,7,3
175,Xerath,Middle,51.76%,1.85%,0.03%,3.44,6.75,5.03,8.25,6,25280,14625,1615,180.0,1.1,4.42,12023,11,3
176,Xin Zhao,Jungle,50.91%,2.54%,0.08%,3.12,6.24,6.32,6.6,8,15487,31730,13168,44.1,4.14,43.82,11234,37,1
177,Xin Zhao,Top,47.89%,0.44%,0.08%,4.77,6.07,6.72,4.96,6,18151,28133,6840,158.0,1.48,3.54,11279,51,0
178,Yasuo,Middle,50.37%,4.95%,4.74%,5.95,7.12,6.88,5.51,9,18978,21246,1690,185.5,3.33,7.0,12104,8,3
179,Yasuo,Top,51.97%,4.69%,4.74%,6.04,6.29,6.83,4.97,8,19179,21942,1649,198.2,2.61,5.0,12249,3,1
180,Yorick,Top,52.81%,1.15%,0.07%,3.92,5.13,5.21,5.62,7,20285,26816,5545,187.4,0.88,1.67,11747,24,0
181,Zac,Jungle,48.09%,3.39%,2.70%,3.55,3.76,4.43,11.64,7,11544,34574,26940,37.5,3.43,49.06,10316,12,0
182,Zed,Middle,49.48%,7.32%,5.50%,3.75,8.8,6.17,5.49,10,21806,20170,2206,174.1,1.17,3.42,12240,1,0
183,Ziggs,Middle,52.39%,2.09%,0.03%,3.41,6.13,5.44,7.52,7,25735,15400,1550,186.4,1.56,5.49,12140,17,8
184,Zilean,Middle,52.66%,0.57%,0.04%,4.8,4.31,4.23,9.73,5,18426,19581,8776,175.5,1.48,3.97,11241,33,2
185,Zilean,Support,49.94%,1.01%,0.04%,4.11,2.49,4.76,12.9,4,11844,16278,6444,39.6,0.38,0.67,10174,12,0
186,Zyra,Support,49.32%,2.04%,0.11%,4.73,3.56,6.21,10.87,6,20425,15992,1362,39.0,0.36,0.74,10519,14,2
