Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
87,Lulu,Support,49.77%,7.39%,1.26%,3.28,1.53,5.08,13.99,4,6617,15032,2303,18.1,0.08,0.15,9485,13,3
88,Lux,Middle,52.70%,6.11%,0.21%,3.65,7.02,5.45,9.25,7,22513,14265,1386,152.1,0.67,2.32,11618,4,2
89,Lux,Support,47.94%,2.57%,0.21%,4.18,4.11,6.22,11.91,8,16781,13730,1290,43.5,0.31,0.71,10518,19,0
90,Malphite,Jungle,47.61%,0.71%,0.16%,3.48,4.59,4.8,9.46,5,13230,24626,6087,47.0,2.6,44.47,10702,43,1
91,Malphite,Support,48.64%,0.92%,0.16%,3.75,3.36,5.62,11.54,5,12703,19226,2671,46.7,0.34,1.33,9881,24,0
92,Malphite,Top,50.34%,2.66%,0.16%,2.9,4.78,4.79,8.33,6,16747,20986,2076,151.3,0.77,2.23,10910,36,2
93,Malzahar,Middle,55.15%,3.58%,1.10%,3.72,6.27,5.51,7.67,7,22292,15734,1441,183.1,1.27,3.8,12202,5,0
94,Maokai,Jungle,52.06%,2.58%,1.02%,2.65,3.58,4.8,11.53,6,13359,34757,14890,41.3,3.41,41.95,10354,14,3
95,Maokai,Top,50.85%,2.47%,1.02%,2.32,3.52,4.58,9.46,5,16954,31885,11513,156.3,0.71,1.68,10692,17,5
96,Master Yi,Jungle,50.80%,8.50%,2.89%,2.93,8.36,6.88,5.08,11,17257,28939,8234,63.4,5.21,50.58,12376,3,0
97,Miss Fortune,ADC,52.21%,6.81%,0.20%,3.65,7.68,6.05,8.2,9,23945,19121,3303,182.1,0.97,3.5,12646,6,1
98,Mordekaiser,Top,49.94%,0.72%,0.04%,2.45,5.9,6.38,5.49,8,21030,17532,9634,166.8,1.41,3.25,11393,48,5
99,Morgana,Middle,52.11%,1.49%,0.92%,4.66,5.81,4.9,9.44,6,20555,19331,1790,159.0,0.77,2.81,11488,26,1
