Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
79,Lulu,Support,49.79%,4.39%,0.48%,3.02,1.73,5.45,13.77,4,7265,15811,2361,21.3,0.1,0.19,9597,21,4
80,Lux,Middle,52.31%,6.66%,0.54%,4.05,7.46,5.88,9.33,9,23129,14810,1417,137.3,0.61,1.72,11527,4,2
81,Lux,Support,49.48%,4.58%,0.54%,4.3,4.5,6.57,12.02,6,17639,14376,1435,46.9,0.3,0.65,10646,11,1
82,Malphite,Jungle,48.30%,0.95%,0.22%,3.94,4.76,5.0,9.57,6,13662,24912,5937,48.9,3.0,40.07,10804,40,6
83,Malphite,Support,50.97%,2.11%,0.22%,3.78,3.41,5.72,11.84,6,12887,19520,2531,46.5,0.35,1.0,9889,20,4
84,Malphite,Top,51.25%,2.49%,0.22%,3.25,5.18,5.07,8.5,8,17463,21393,2046,140.6,0.76,1.87,10974,34,6
85,Malzahar,Middle,55.33%,2.79%,0.83%,3.85,6.69,5.79,7.81,8,22632,16101,1403,172.4,1.14,3.04,12167,6,1
86,Maokai,Jungle,52.70%,1.47%,0.40%,2.85,3.62,5.01,11.43,6,13245,34574,14535,43.3,3.32,37.84,10306,23,11
87,Maokai,Support,53.12%,0.78%,0.40%,3.05,2.61,5.87,12.88,5,13435,26775,8292,44.7,0.43,1.26,9995,16,2
88,Maokai,Top,50.65%,1.53%,0.40%,2.44,3.69,4.76,9.47,5,17043,32293,11660,146.6,0.75,1.47,10596,23,8
89,Master Yi,Jungle,51.76%,11.52%,4.03%,2.99,8.54,7.23,5.25,12,17667,29018,8118,64.1,5.46,45.71,12334,1,0
90,Miss Fortune,ADC,54.28%,10.08%,0.61%,4.13,8.28,6.28,8.39,9,24187,19555,3264,170.0,1.01,2.96,12715,2,1
91,Mordekaiser,Top,50.80%,0.74%,0.05%,2.36,6.53,6.88,5.78,9,21666,18534,8782,155.2,1.4,2.43,11519,41,6
92,Morgana,Middle,53.39%,1.43%,1.11%,5.06,6.02,5.26,9.66,6,20762,19483,1725,145.7,0.64,2.04,11452,23,0
93,Morgana,Support,48.99%,7.57%,1.11%,3.39,3.06,6.39,13.97,5,14196,18419,2354,34.9,0.19,0.36,10539,6,1
